candidateName,candidateParty,candidateVotes,seat,seatName
Syed Faiz ul Hassan,Pakistan Tehreek-e-Insaf,95168,NA-70,Gujrat-III
Syed Mubashar Hussain Shah,Tehreek-e-Labbaik Islam,4664,NA-70,Gujrat-III
Tahir Zaman,Independent,3508,NA-70,Gujrat-III
Ali Asghar,Independent,2203,NA-71,Gujrat-IV
Asif Raza,Independent,75,NA-71,Gujrat-IV
Ch Muhammad Zahid Farooq,Pakistan Quami Yakjehti Party,117,NA-71,Gujrat-IV
Chaudhry Abid Raza,Pakistan Muslim League (N),88588,NA-71,Gujrat-IV
Fahad Ilyas Choudhry,Independent,279,NA-71,Gujrat-IV
Muhammad Hanif Malik,Independent,36899,NA-71,Gujrat-IV
Muhammad Ilyas Choudhary,Pakistan Tehreek-e-Insaf,81538,NA-71,Gujrat-IV
Nadeem Ashiq,Pakistan Peoples Party Parliamentarians,1738,NA-71,Gujrat-IV
Naeem Ahmed,Tehreek-e-Labbaik Pakistan,29527,NA-71,Gujrat-IV
Naeem Raza,Independent,3199,NA-71,Gujrat-IV
Shabbir Ahmad,Independent,5,NA-71,Gujrat-IV
Shahbaz Khan,Independent,520,NA-71,Gujrat-IV
Syed Mubashar Hussain Shah,Tehreek-e-Labbaik Islam,1297,NA-71,Gujrat-IV
Syed Zia Ulla,Independent,771,NA-71,Gujrat-IV
CHAUDHRY ARMGHAN SUBHANI,Pakistan Muslim League (N),129041,NA-72,Sialkot-I
FIRDOUS ASHIQ,Pakistan Tehreek-e-Insaf,91393,NA-72,Sialkot-I
KHURRAM IJAZ,Independent,1365,NA-72,Sialkot-I
MIAN ABID JAVED,Independent,376,NA-72,Sialkot-I
MIAN NAEEM JAVED,Independent,4817,NA-72,Sialkot-I
NASAR ULLAH,Allah-o-Akbar Tehreek,2483,NA-72,Sialkot-I
PERVEEN AKHTAR,Muttahida Majlis-e-Amal Pakistan,539,NA-72,Sialkot-I
SYED ABBAS ALI SHAH,Tehreek-e-Labbaik Pakistan,19731,NA-72,Sialkot-I
SYED ISHTIAQ UL HASSAN GILANI,Pakistan Peoples Party Parliamentarians,2639,NA-72,Sialkot-I
TARIQ SUBHANI,Independent,523,NA-72,Sialkot-I
Muhammad Imran Dar,Independent,102,NA-73,Sialkot-II
Muhammad Asif,Independent,498,NA-73,Sialkot-II
Jahangir Rashid,Pakistan Sunni Tehreek,336,NA-73,Sialkot-II
Chaudhry Mohammad Sarwar,Muttahida Qaumi Movement Pakistan,125,NA-73,Sialkot-II
Arif Mahmood,Independent,444,NA-73,Sialkot-II
Imran Ashraf,Independent,987,NA-73,Sialkot-II
Muhammad Usman Dar,Pakistan Tehreek-e-Insaf,115464,NA-73,Sialkot-II
Rana Muhammad Naeem Javid,Tehreek-e-Labbaik Pakistan,9953,NA-73,Sialkot-II
Khawaja Muhammad Asif,Pakistan Muslim League (N),116957,NA-73,Sialkot-II
Zarrar Mahmood Malik,Pakistan Peoples Party Parliamentarians,1673,NA-73,Sialkot-II
Ali Zahid,Pakistan Muslim League (N),97235,NA-74,Sialkot-III
Chaudhary Muhammad Akbar,Independent,840,NA-74,Sialkot-III
GHULAM ABBAS,Pakistan Tehreek-e-Insaf,93734,NA-74,Sialkot-III
Liaqat Ali,Independent,421,NA-74,Sialkot-III
MANSOOR SARWAR KHAN,Independent,358,NA-74,Sialkot-III
Mohsin Ikram,Muttahida Majlis-e-Amal Pakistan,1858,NA-74,Sialkot-III
MUHAMMAD ASIF BAJWA,Independent,4930,NA-74,Sialkot-III
MUHAMMAD IQBAL,Independent,337,NA-74,Sialkot-III
MUNAWAR AHMED GILL,Independent,18045,NA-74,Sialkot-III
NARGIS FAIZ MALIK,Pakistan Peoples Party Parliamentarians,2625,NA-74,Sialkot-III
SHUJAAT ALI,Tehreek-e-Labbaik Pakistan,34295,NA-74,Sialkot-III
Syed Iftikhar Ul Hassan,Pakistan Muslim League (N),101617,NA-75,Sialkot-IV
Arslan Zafar,Tehreek-e-Labbaik Pakistan,14772,NA-75,Sialkot-IV
Kashan Haider,Muttahida Majlis-e-Amal Pakistan,1656,NA-75,Sialkot-IV
Usman Abid,Independent,57571,NA-75,Sialkot-IV
Abdul Rauf,Independent,148,NA-75,Sialkot-IV
Ali Asjad Malhi,Pakistan Tehreek-e-Insaf,61432,NA-75,Sialkot-IV
Abdul waheed Meo,Independent,2630,NA-75,Sialkot-IV
Muhammad Atiq Rafiq,Independent,434,NA-75,Sialkot-IV
Zaheer Ul Hassan Rizvi,Pakistan Peoples Party Parliamentarians,4163,NA-75,Sialkot-IV
Rauf Ahmed Bajwa,Independent,1107,NA-75,Sialkot-IV
Chaudhry Mumtaz Ali,Independent,224,NA-75,Sialkot-IV
CH  Khaleeq Ur Rehman,Allah-o-Akbar Tehreek,2800,NA-76,Sialkot-V
Ch  Muhammad Amin,Tehreek-e-Labbaik Pakistan,16872,NA-76,Sialkot-V
Mudashar Saleem Baryar,Independent,10803,NA-76,Sialkot-V
Muhammad Aslam,Pakistan Tehreek-e-Insaf,93190,NA-76,Sialkot-V
Muhammad Awais,Muttahida Majlis-e-Amal Pakistan,2790,NA-76,Sialkot-V
Qasim Ali,Independent,1124,NA-76,Sialkot-V
Rana Shamim Ahmed Khan,Pakistan Muslim League (N),133664,NA-76,Sialkot-V
Yasir Mushtaq Bajwa,Pakistan Peoples Party Parliamentarians,3711,NA-76,Sialkot-V
Muhammad Ashfaq Taj,Tehreek-e-Labbaik Pakistan,20510,NA-77,Narowal-I
Hafiz Muhammad Akmal Sadiq,Independent,7890,NA-77,Narowal-I
Ghulam Ali Shakar Toor,Independent,831,NA-77,Narowal-I
Shamim Akhtar,Independent,3480,NA-77,Narowal-I
Muhammad Azeem Choudry,Independent,1259,NA-77,Narowal-I
Mian Muhammad Rasheed,Pakistan Tehreek-e-Insaf,52231,NA-77,Narowal-I
Muhammad Nawaz,Pakistan Peoples Party Parliamentarians,1327,NA-77,Narowal-I
Mehnaz Akber Aziz,Pakistan Muslim League (N),106366,NA-77,Narowal-I
Syed Sirshar Abbas,Independent,1241,NA-77,Narowal-I
Muhammad Tariq Anees,Independent,70596,NA-77,Narowal-I
Amir Siddique Malik,Pakistan Tehreek-e-Insaf Nazriati,1854,NA-77,Narowal-I
Abrar Ul Haq,Pakistan Tehreek-e-Insaf,88250,NA-78,Narowal-II
Ahsan Iqbal Chaudhary,Pakistan Muslim League (N),159651,NA-78,Narowal-II
Anwar Ul Haq Butt,Independent,549,NA-78,Narowal-II
Badar Ahsan Chaudhary,Independent,160,NA-78,Narowal-II
Faiza Rafique,National Party,533,NA-78,Narowal-II
Hafiz Muhammad Akmal Sadiq,Independent,4440,NA-78,Narowal-II
Jalaluddin,Independent,1670,NA-78,Narowal-II
Javaid Safdar Kahlon,Independent,1073,NA-78,Narowal-II
Khizer Ilyas Virk,Independent,347,NA-78,Narowal-II
Mureed Hussain,Independent,325,NA-78,Narowal-II
Rashid Mahmood Khan,Tehreek-e-Labbaik Pakistan,20432,NA-78,Narowal-II
Shujait Ahmed Khan,Independent,387,NA-78,Narowal-II
MUHAMMAD ARSHAD,Independent,1208,NA-79,Gujranwala-I
JOHAR SARWAR CHEEMA,Independent,736,NA-79,Gujranwala-I
ASJAD HUSSAIN,Independent,180,NA-79,Gujranwala-I
Babar Maqbool Qazi,Independent,312,NA-79,Gujranwala-I
MALIK ABDUL REHMAN SADIQ,Independent,480,NA-79,Gujranwala-I
CH  ADIL BUKSH CHATTHA,Independent,567,NA-79,Gujranwala-I
MUHAMMAD AKRAM,Allah-o-Akbar Tehreek,3814,NA-79,Gujranwala-I
MIRAJ DIN,Independent,241,NA-79,Gujranwala-I
CH  IJAZ AHMED CHEEMA,Pakistan Peoples Party Parliamentarians,8910,NA-79,Gujranwala-I
MUHAMMAD UMER USMAN,Independent,432,NA-79,Gujranwala-I
MUHAMMAD AMIN,Independent,99,NA-79,Gujranwala-I
NISAR AHMED CHEEMA,Pakistan Muslim League (N),142545,NA-79,Gujranwala-I
MUHAMMAD FAYYAZ,Tehreek-e-Labbaik Pakistan,12972,NA-79,Gujranwala-I
MUHAMMAD AHMED CHATTHA,Pakistan Tehreek-e-Insaf,118709,NA-79,Gujranwala-I
AMIR YAQOOB WARAICH,Independent,619,NA-80,Gujranwala-II
CH MEHMOOD BASHIR VIRK,Pakistan Muslim League (N),108653,NA-80,Gujranwala-II
IMTIAZ SAFDAR WARRAICH,Independent,90,NA-80,Gujranwala-II
MUAMMAD NASIR CHEEMA,Independent,166,NA-80,Gujranwala-II
MUHAMMAD AHMED,Tehreek-e-Labbaik Pakistan,11457,NA-80,Gujranwala-II
MUHAMMAD ARSHAD,Independent,157,NA-80,Gujranwala-II
MUHAMMAD ASLAM,Independent,80,NA-80,Gujranwala-II
MUHAMMAD UBAID ULLAH,Muttahida Majlis-e-Amal Pakistan,2112,NA-80,Gujranwala-II
QAZI WASIF NADEEM,Independent,378,NA-80,Gujranwala-II
RANA NAEEM UR REHMAN KHAN,Independent,59,NA-80,Gujranwala-II
RAO IKRAM ALI KHAN,Pakistan Peoples Party Parliamentarians,4937,NA-80,Gujranwala-II
Shazia Bano Mazhar Javaid,Independent,2002,NA-80,Gujranwala-II
SULTAN AHMAD WARRAICH,Independent,71,NA-80,Gujranwala-II
TARIQ MEHMOOD,Pakistan Tehreek-e-Insaf,71937,NA-80,Gujranwala-II
UZAIR AHMED,Independent,449,NA-80,Gujranwala-II
ZABEEH ULLAH BALAGGAN,Allah-o-Akbar Tehreek,5836,NA-80,Gujranwala-II
ZAIN ALI BHATTI,Independent,652,NA-80,Gujranwala-II
Atif Farid Sabir Khan,Independent,2760,NA-81,Gujranwala-III
Ch Muhammad Siddique,Pakistan Tehreek-e-Insaf,88166,NA-81,Gujranwala-III
Hameed Ud Din Awan,Muttahida Majlis-e-Amal Pakistan,4151,NA-81,Gujranwala-III
Kashif Sabir Khan,Independent,147,NA-81,Gujranwala-III
Khurram Dastgir Khan,Pakistan Muslim League (N),130837,NA-81,Gujranwala-III
Muhammad Anas Amjad,Pakistan Peoples Party Parliamentarians,1868,NA-81,Gujranwala-III
Muhammad Ishaq,Tehreek-e-Labbaik Pakistan,10178,NA-81,Gujranwala-III
Muhammad Naseem Sadiq,Aam Log Party Pakistan,254,NA-81,Gujranwala-III
Muhammad Rafiq,Independent,71,NA-81,Gujranwala-III
Nasir Afzal,Independent,2793,NA-81,Gujranwala-III
Naveed Anwar Bhinder,Independent,483,NA-81,Gujranwala-III
Shahid Hameed,Allah-o-Akbar Tehreek,5411,NA-81,Gujranwala-III
Usman Saeed,Independent,87,NA-81,Gujranwala-III
Ch  Muhammad Younas Ali,Independent,1598,NA-82,Gujranwala-IV
Nafisa Tahira,Aam Log Party Pakistan,65,NA-82,Gujranwala-IV
Muhammad Ashraf Asif,Tehreek-e-Labbaik Islam,16545,NA-82,Gujranwala-IV
Ahsan Yousaf,Independent,1709,NA-82,Gujranwala-IV
Shoukat Ali,Independent,79,NA-82,Gujranwala-IV
Ishaq Akbar,Pakistan Peoples Party Parliamentarians,2430,NA-82,Gujranwala-IV
Muhammad Furqan Aziz Butt,Muttahida Majlis-e-Amal Pakistan,2387,NA-82,Gujranwala-IV
Usman Ibrahim S O Muhammad Ibrahim,Pakistan Muslim League (N),117520,NA-82,Gujranwala-IV
Muhammad Imran,Independent,2173,NA-82,Gujranwala-IV
Ali Ashraf,Pakistan Tehreek-e-Insaf,67400,NA-82,Gujranwala-IV
Abdul Karim,Aam Awam Party,326,NA-82,Gujranwala-IV
Usman Ibrahim S O Maqsood Ahmad,Independent,1727,NA-82,Gujranwala-IV
Shahid Usman,Independent,179,NA-82,Gujranwala-IV
Shahbaz Khan,Tehreek-e-Labbaik Pakistan,3814,NA-82,Gujranwala-IV
Usman Saif,Tehreek Tabdili Nizam Pakistan,935,NA-82,Gujranwala-IV
MUHAMMAD FAROOQ,Independent,1223,NA-82,Gujranwala-IV
Aman Ullah Butt,Allah-o-Akbar Tehreek,4261,NA-82,Gujranwala-IV
Usman Ashraf,Independent,117,NA-82,Gujranwala-IV
Faisal Adnan Sandhu,Independent,182,NA-82,Gujranwala-IV
MUHAMMAD NASIR MEHMOOD,Tehreek-e-Labbaik Pakistan,19679,NA-83,Gujranwala-V
Rana Umar Nazir Khan,Independent,1191,NA-83,Gujranwala-V
Shahbaz Ahmad,Independent,479,NA-83,Gujranwala-V
CH  ZAKA ULLAH BARYAR,Independent,280,NA-83,Gujranwala-V
RANA NAZIR AHMAD KHAN,Pakistan Tehreek-e-Insaf,75940,NA-83,Gujranwala-V
Ch Ali Wakeel Khan,Independent,334,NA-83,Gujranwala-V
SAEED YOUSAF BHINDER,Independent,839,NA-83,Gujranwala-V
ZULIFIQAR AHMAD,Pakistan Muslim League (N),139235,NA-83,Gujranwala-V
MIAN ASIF ALI,Pakistan Peoples Party Parliamentarians,3161,NA-83,Gujranwala-V
QAMAR HUSSAIN,Pakistan Tehreek-e-Insaf-Gulalai,240,NA-83,Gujranwala-V
Abid Sohail Virk,Allah-o-Akbar Tehreek,6877,NA-84,Gujranwala-VI
Amir Ali Hussain Khan,Independent,2723,NA-84,Gujranwala-VI
AYTZAZ IJAZ,Independent,211,NA-84,Gujranwala-VI
Azhar Qayyum Nahra,Pakistan Muslim League (N),119612,NA-84,Gujranwala-VI
Ch Bilal Ejaz,Pakistan Tehreek-e-Insaf,89728,NA-84,Gujranwala-VI
Muhammad Asghar,Independent,805,NA-84,Gujranwala-VI
Muhammad Ishaq Khan,Independent,3278,NA-84,Gujranwala-VI
Muhammad Islam,Independent,1761,NA-84,Gujranwala-VI
Muhammad Muhibb Uddeen,Tehreek-e-Labbaik Pakistan,16756,NA-84,Gujranwala-VI
Qasim Ali,Independent,93,NA-84,Gujranwala-VI
Rab Nawaz Cheema,Independent,155,NA-84,Gujranwala-VI
Zulfiqar Ali,Pakistan Peoples Party Parliamentarians,1641,NA-84,Gujranwala-VI
Naeem Bashir,Independent,325,NA-85,Mandi Bahauddin-I
Ejaz Ahmad,Aam Log Party Pakistan,271,NA-85,Mandi Bahauddin-I
Muhammad Akbar,Tehreek-e-Labbaik Islam,4656,NA-85,Mandi Bahauddin-I
Yasir Saddiq,Allah-o-Akbar Tehreek,1733,NA-85,Mandi Bahauddin-I
Muhammad Haq Nawaz,Tehreek-e-Labbaik Pakistan,12590,NA-85,Mandi Bahauddin-I
Akhtar Nawaz Faisal,Independent,164,NA-85,Mandi Bahauddin-I
Mohammad Riaz Farooq Sahi,Muttahida Majlis-e-Amal Pakistan,10436,NA-85,Mandi Bahauddin-I
Najas Bibi,Independent,1848,NA-85,Mandi Bahauddin-I
Chaudhry Akhter Abbas,Independent,732,NA-85,Mandi Bahauddin-I
Haji Imtiaz Ahmed Choudhary,Pakistan Tehreek-e-Insaf,99996,NA-85,Mandi Bahauddin-I
Mushahid Raza,Pakistan Muslim League (N),80367,NA-85,Mandi Bahauddin-I
Sher Muhammad Gondal,Mustaqbil Pakistan,379,NA-85,Mandi Bahauddin-I
Asif Bashir,Pakistan Peoples Party Parliamentarians,47049,NA-85,Mandi Bahauddin-I
Chaudhry Akhtar Abbas Bosal,Independent,542,NA-86,Mandi Bahauddin-II
Chaudhry Manzoor Hussain Dudhra,Independent,3769,NA-86,Mandi Bahauddin-II
Fakhar Umar Hayat,Pakistan Peoples Party Parliamentarians,24129,NA-86,Mandi Bahauddin-II
Muhammad Anwar,National Party,1718,NA-86,Mandi Bahauddin-II
Muhammad Irfan,Allah-o-Akbar Tehreek,2969,NA-86,Mandi Bahauddin-II
Nasir Iqbal Bosal,Pakistan Muslim League (N),147105,NA-86,Mandi Bahauddin-II
Nazar Muhammad Gondal,Pakistan Tehreek-e-Insaf,80637,NA-86,Mandi Bahauddin-II
Zulifqar Ali Gondal,Independent,5853,NA-86,Mandi Bahauddin-II
Afrasiab Mohal,Independent,181,NA-87,Hafizabad-I
Allah Rakhi,Pakistan Peoples Party Parliamentarians,3396,NA-87,Hafizabad-I
Babar Maqbool Qazi,Independent,4282,NA-87,Hafizabad-I
Ch  Shoukat Ali Bhatti,Pakistan Tehreek-e-Insaf,165618,NA-87,Hafizabad-I
CHAUDHARY MUHAMMAD ASAD ULLAH,Independent,1228,NA-87,Hafizabad-I
Fehmida Kousar,Muttahida Majlis-e-Amal Pakistan,649,NA-87,Hafizabad-I
Liaqat Abbas,Tehreek-e-Labbaik Pakistan,44130,NA-87,Hafizabad-I
Malik Muhammad Aslam,Allah-o-Akbar Tehreek,2116,NA-87,Hafizabad-I
Mir Muhammad Hashim Khan,All Pakistan Muslim League,305,NA-87,Hafizabad-I
Mubashar Abbas,Independent,5576,NA-87,Hafizabad-I
Muhammad Naeem,Independent,7621,NA-87,Hafizabad-I
Muhammad Rafique son of Ali Muhammad,Independent,768,NA-87,Hafizabad-I
Qamar Abbas,Independent,860,NA-87,Hafizabad-I
Sadia Liaqat Abbas,Independent,975,NA-87,Hafizabad-I
Saira Tarar,Pakistan Muslim League (N),157453,NA-87,Hafizabad-I
ASIF ALI CHOUDHRY,Tehreek-e-Labbaik Pakistan,11329,NA-88,Sargodha-I
IZHAR UL HASSAN,Pakistan Peoples Party Parliamentarians,12703,NA-88,Sargodha-I
MUHAMMAD HANIF,Muttahida Majlis-e-Amal Pakistan,3839,NA-88,Sargodha-I
MUKHTAR AHMAD MALIK,Pakistan Muslim League (N),129615,NA-88,Sargodha-I
Nadeem Afzal Gondal,Pakistan Tehreek-e-Insaf,115622,NA-88,Sargodha-I
RAO TAHIR MUSHARAF KHAN,Independent,2776,NA-88,Sargodha-I
Muhammad Aslam,Pakistan Peoples Party Parliamentarians,19495,NA-89,Sargodha-II
Rakhshinda Nawaz,Independent,2694,NA-89,Sargodha-II
Ali Nawaz Mela,Independent,2142,NA-89,Sargodha-II
Mohsin Nawaz Ranjha,Pakistan Muslim League (N),114245,NA-89,Sargodha-II
Ch Altaf Hussain Ranjha,Independent,2574,NA-89,Sargodha-II
Usama Ahmad Mela,Pakistan Tehreek-e-Insaf,113422,NA-89,Sargodha-II
Muhammad Arshad  Shahid,Muttahida Majlis-e-Amal Pakistan,7947,NA-90,Sargodha-III
Erum Hamid,Independent,528,NA-90,Sargodha-III
Rai Muhammad Munir Khral,Allah-o-Akbar Tehreek,1866,NA-90,Sargodha-III
Jamal Din,Independent,1572,NA-90,Sargodha-III
Hamza Mateen Qureshi,Independent,177,NA-90,Sargodha-III
Nadia Aziz,Pakistan Tehreek-e-Insaf,85220,NA-90,Sargodha-III
Tahir Farooq,Independent,53,NA-90,Sargodha-III
Tasneem Ahmed Qureshi,Pakistan Peoples Party Parliamentarians,21352,NA-90,Sargodha-III
Sajjad Hussain,Independent,748,NA-90,Sargodha-III
Ch Muhammad Hamid Hameed,Pakistan Muslim League (N),93948,NA-90,Sargodha-III
Muhammad Mumtaz Akhtar,Independent,269,NA-90,Sargodha-III
Aasiah Maqbool,Pakistan Welfare Party,48,NA-90,Sargodha-III
Ahmed Khan,Independent,1627,NA-90,Sargodha-III
Zubair Tariq,Tehreek-e-Labbaik Pakistan,4246,NA-90,Sargodha-III
Muhammad Aslam,Independent,85,NA-90,Sargodha-III
Adil Rehman,Independent,2749,NA-91,Sargodha-IV
Ch  Mubashar Ahmad,All Pakistan Muslim League (jinnah),750,NA-91,Sargodha-IV
CHOUDHARY AMIR SULTAN CHEEMA,Pakistan Tehreek-e-Insaf,110246,NA-91,Sargodha-IV
Hafiz Farhan Ahmad,Muttahida Majlis-e-Amal Pakistan,7449,NA-91,Sargodha-IV
Hafiz talha saeed,Allah-o-Akbar Tehreek,11397,NA-91,Sargodha-IV
Khawar Javaid,Independent,1325,NA-91,Sargodha-IV
MUHAMMAD ALI,Independent,5171,NA-91,Sargodha-IV
Muhammad Sarwar Bhatti,Independent,817,NA-91,Sargodha-IV
Muhammad Shahzad,Independent,4106,NA-91,Sargodha-IV
NADEEM AWAN,Tehreek-e-Labbaik Islam,2416,NA-91,Sargodha-IV
Najaf Ali Bhatti,Independent,572,NA-91,Sargodha-IV
Tariq Mehmood,Pakistan Peoples Party Parliamentarians,8037,NA-91,Sargodha-IV
Zulfiqar Ali Bhatti,Pakistan Muslim League (N),110525,NA-91,Sargodha-IV
SAHIBZADA NAEEM UD DIN SIALVI,Pakistan Tehreek-e-Insaf,65406,NA-92,Sargodha-V
ZAFAR AHMAD,Independent,56970,NA-92,Sargodha-V
GUL MUHAMMAD SHAH,Independent,905,NA-92,Sargodha-V
SYED MUHAMMAD RAZA ALI SHAH,Independent,3681,NA-92,Sargodha-V
SHEHNAZ BIBI,Muttahida Majlis-e-Amal Pakistan,620,NA-92,Sargodha-V
SYED JAVED HUSNAIN,Pakistan Muslim League (N),97013,NA-92,Sargodha-V
Syed Ahmad Mehdi Ali Shah,Independent,5011,NA-92,Sargodha-V
SARDAR MUHAMMAD SHAFQAT HAYAT KHAN,Independent,130,NA-92,Sargodha-V
MUHAMMAD AZHAR ABBAS,Tehreek-e-Labbaik Pakistan,7497,NA-92,Sargodha-V
ANSAR ABBAS BALOCH,Independent,236,NA-92,Sargodha-V
MUHAMMAD JAMSHED,Pakistan Peoples Party Parliamentarians,16843,NA-92,Sargodha-V
Abdullah Ahmed,Muttahida Majlis-e-Amal Pakistan,8138,NA-93,Khushab-I
Bahadar Khan,Awami National Party,897,NA-93,Khushab-I
Haji Fateh Deen,Independent,1077,NA-93,Khushab-I
Malik Mazhar Iqbal Awan,Independent,32498,NA-93,Khushab-I
Muhammad Ali Sawal,Independent,23482,NA-93,Khushab-I
Naseem Abbas,Pakistan Peoples Party Parliamentarians,3182,NA-93,Khushab-I
Sumaira Malik,Pakistan Muslim League (N),70401,NA-93,Khushab-I
Umar Aslam Khan,Pakistan Tehreek-e-Insaf,100448,NA-93,Khushab-I
Anwar Khan,Independent,476,NA-94,Khushab-II
MALIK MUHAMMAD EHSAN ULLAH TIWANA,Pakistan Tehreek-e-Insaf,93864,NA-94,Khushab-II
MALIK SHAKIR BASHIR AWAN,Pakistan Muslim League (N),85109,NA-94,Khushab-II
Gul Asghar Khan Bhagoor,Independent,43738,NA-94,Khushab-II
SHAHID IQBAL,Independent,116,NA-94,Khushab-II
SAFDAR ALI,Pakistan Peoples Party Parliamentarians,3121,NA-94,Khushab-II
UZAIR MUHAMMAD KHAN,Independent,1734,NA-94,Khushab-II
GHAUS MUHAMMAD KHAN NIAZI,Independent,936,NA-94,Khushab-II
ABDUL WAHAB,Pakistan Justice & Democratic Party,939,NA-95,Mianwali-I
AMIR ULLAH,Muttahida Majlis-e-Amal Pakistan,2331,NA-95,Mianwali-I
ASAD HASSAN KHAN,Independent,739,NA-95,Mianwali-I
Imran Ahmed Khan Niazi,Pakistan Tehreek-e-Insaf,163538,NA-95,Mianwali-I
MANZOOR AHMED KHAN,Independent,340,NA-95,Mianwali-I
MUHAMMAD KHALID,Independent,476,NA-95,Mianwali-I
Muhammad Khalid Khan,Pakistan Peoples Party Parliamentarians,1588,NA-95,Mianwali-I
MUHAMMAD SARDAR BAHADUR KHAN,Sunni Ittehad Council,854,NA-95,Mianwali-I
MUHAMMAD TAUQEER UL HASNAIN SHAH,Tehreek-e-Labbaik Pakistan,16712,NA-95,Mianwali-I
NAWAB MALIK AMIR MUHAMMAD KHAN,Independent,7163,NA-95,Mianwali-I
OBAID ULLAH KHAN,Pakistan Muslim League (N),50015,NA-95,Mianwali-I
AMJID ALI KHAN,Pakistan Tehreek-e-Insaf,157422,NA-96,Mianwali-II
MUHAMMAD TAYYAB,Muttahida Majlis-e-Amal Pakistan,753,NA-96,Mianwali-II
SAJJAD AHMAD MALIK,Tehreek-e-Labbaik Pakistan,30542,NA-96,Mianwali-II
MUHAMMAD KHALID,Pakistan Peoples Party Parliamentarians,2709,NA-96,Mianwali-II
MUHAMMAD HUMAIR HAYAT KHAN NIAZI,Pakistan Muslim League (N),54909,NA-96,Mianwali-II
AZIZ UR REHMAN,Independent,8338,NA-96,Mianwali-II
ABDUL MAJEED KHAN,Pakistan Muslim League (N),91607,NA-97,Bhakkar-I
AZFAR ALI,Independent,480,NA-97,Bhakkar-I
AZIZ AHMAD KHAN,Independent,1003,NA-97,Bhakkar-I
FAROOQ AHMAD KHAN,Independent,426,NA-97,Bhakkar-I
FURRUKH HASSAN KHAN,Independent,164,NA-97,Bhakkar-I
MALIK AMJAD ALI,Pakistan Tehreek-e-Insaf,44653,NA-97,Bhakkar-I
MUHAMMAD ARSHAD AWAN,Independent,3839,NA-97,Bhakkar-I
MUHAMMAD SANA ULLAH KHAN MASTI KHEL,Independent,120729,NA-97,Bhakkar-I
Mulazim Hussain,Pakistan Peoples Party Parliamentarians,8116,NA-97,Bhakkar-I
NAEEM AKHTAR,Independent,375,NA-97,Bhakkar-I
SANA ULLAH KHAN,Independent,3416,NA-97,Bhakkar-I
UMAIR HASSAN KHAN,Independent,3188,NA-97,Bhakkar-I
Saeed Akbar Khan,Independent,657,NA-98,Bhakkar-II
Naeem Ullah Khan Shahani,Independent,727,NA-98,Bhakkar-II
Habib Ullah Khan Shahani,Independent,579,NA-98,Bhakkar-II
Ejaz Ali Khan Shahani,Pakistan Peoples Party Parliamentarians,4071,NA-98,Bhakkar-II
Akhtar Hussain,Pakistan Awami Raj,797,NA-98,Bhakkar-II
Hafiz Muhammad Zulfiqar,Tehreek-e-Labbaik Pakistan,6613,NA-98,Bhakkar-II
Abdul Rehman,Independent,1952,NA-98,Bhakkar-II
Rashid Akbar Khan,Independent,133679,NA-98,Bhakkar-II
Muhammad Afzal Khan,Pakistan Tehreek-e-Insaf,138307,NA-98,Bhakkar-II
ALLAH YAR,Independent,1472,NA-99,Chiniot-I
MAKHDOOM ZADA SYED ASAD HAYAT,Pakistan Peoples Party Parliamentarians,22324,NA-99,Chiniot-I
ZULFIQAR ALI SHAH,Muttahida Majlis-e-Amal Pakistan,2022,NA-99,Chiniot-I
ALI RAZA,Independent,803,NA-99,Chiniot-I
MUHAMMAD AHSAN LALI,Independent,1289,NA-99,Chiniot-I
JAHANZAIB ZAHID,Allah-o-Akbar Tehreek,848,NA-99,Chiniot-I
GHULAM MUHAMMAD,Pakistan Tehreek-e-Insaf,81330,NA-99,Chiniot-I
REHAN QAISER,Pakistan Muslim League (N),21702,NA-99,Chiniot-I
GHULAM ABBAS,Independent,64307,NA-99,Chiniot-I
AHMAD YAR IRFAN,Tehreek-e-Labbaik Pakistan,10695,NA-99,Chiniot-I
ARSHAD AHMAD,Muttahida Majlis-e-Amal Pakistan,455,NA-100,Chiniot-II
SHAHBAZ ALI HUSSAINI,Pakistan Kissan Ittehad(Ch. Anwar),2126,NA-100,Chiniot-II
SYED INAYAT ALI SHAH,Pakistan Peoples Party Parliamentarians,40542,NA-100,Chiniot-II
MUHAMMAD ALI SHAH,Awami Justice Party Pakistan,353,NA-100,Chiniot-II
UMAR DRAZ,Independent,1208,NA-100,Chiniot-II
MUHAMMAD NAWAZ,Allah-o-Akbar Tehreek,1445,NA-100,Chiniot-II
QAISER AHMED SHEIKH,Pakistan Muslim League (N),76415,NA-100,Chiniot-II
ZULFIQAR ALI SHAH,Pakistan Tehreek-e-Insaf,75559,NA-100,Chiniot-II
MUHAMMAD IMRAN,Independent,1735,NA-100,Chiniot-II
MUHAMMAD USMAN,Tehreek-e-Labbaik Pakistan,6593,NA-100,Chiniot-II
SHEIKH KAISER MEHMOOD,Independent,5954,NA-100,Chiniot-II
NOREEN BASIT,Independent,3723,NA-100,Chiniot-II
ARSHAD ABBAS SHAH,Jamhoori Wattan Party,379,NA-100,Chiniot-II
Shabbir Ahmad,Independent,588,NA-101,Faisalabad-I
Afifa Saddiqui,Muttahida Majlis-e-Amal Pakistan,325,NA-101,Faisalabad-I
